flightAttendantID,name,surname,email,sex,salary,years_working,language_name
139974,Cristionna,Alcock,cristionna.alcock@ucla.edu,F,4696,24,English
139974,Cristionna,Alcock,cristionna.alcock@ucla.edu,F,4696,24,Russian
139974,Cristionna,Alcock,cristionna.alcock@ucla.edu,F,4696,24,Spanish
140313,Rayner,Stonehewer,rayner.stonehewer@craigslist.org,M,9105,29,German
140426,Lorrayne,Ivell,lorrayne.ivell@twitter.com,F,40416,40,Bengali
140426,Lorrayne,Ivell,lorrayne.ivell@twitter.com,F,40416,40,English
140426,Lorrayne,Ivell,lorrayne.ivell@twitter.com,F,40416,40,French
140426,Lorrayne,Ivell,lorrayne.ivell@twitter.com,F,40416,40,Korean
140426,Lorrayne,Ivell,lorrayne.ivell@twitter.com,F,40416,40,Russian
140491,Phyllys,Parncutt,phyllys.parncutt@ameblo.jp,F,10186,39,English
140491,Phyllys,Parncutt,phyllys.parncutt@ameblo.jp,F,10186,39,German
141008,Tadeas,Mayoral,tadeas.mayoral@weibo.com,M,31954,26,Danish
141008,Tadeas,Mayoral,tadeas.mayoral@weibo.com,M,31954,26,English
141008,Tadeas,Mayoral,tadeas.mayoral@weibo.com,M,31954,26,Mongolian
141216,Klaus,Clapson,klaus.clapson@ask.com,M,39110,35,French
141258,Philippine,Stilgoe,philippine.stilgoe@foxnews.com,F,12129,6,Korean
141260,Amelie,Boundy,amelie.boundy@berkeley.edu,F,12237,17,English
141260,Amelie,Boundy,amelie.boundy@berkeley.edu,F,12237,17,Mandarin
141260,Amelie,Boundy,amelie.boundy@berkeley.edu,F,12237,17,Norwegian
141362,Cherri,Varran,cherri.varran@hostgator.com,F,12403,17,Arabic
141362,Cherri,Varran,cherri.varran@hostgator.com,F,12403,17,French
141362,Cherri,Varran,cherri.varran@hostgator.com,F,12403,17,Mandarin
141397,Kaycee,Tanman,kaycee.tanman@xing.com,F,18616,25,Cambodian
141397,Kaycee,Tanman,kaycee.tanman@xing.com,F,18616,25,Mandarin
141397,Kaycee,Tanman,kaycee.tanman@xing.com,F,18616,25,Russian
141566,Ruy,Pickthorne,ruy.pickthorne@canalblog.com,M,29177,46,English
141566,Ruy,Pickthorne,ruy.pickthorne@canalblog.com,M,29177,46,Jakartanese
141619,Bradly,Dimitriou,bradly.dimitriou@oracle.com,M,12182,21,Arabic
141619,Bradly,Dimitriou,bradly.dimitriou@oracle.com,M,12182,21,Czech
141619,Bradly,Dimitriou,bradly.dimitriou@oracle.com,M,12182,21,German
141619,Bradly,Dimitriou,bradly.dimitriou@oracle.com,M,12182,21,Portuguese
141676,Sigvard,Ingleson,sigvard.ingleson@zdnet.com,M,3744,45,Cakchiquel
141676,Sigvard,Ingleson,sigvard.ingleson@zdnet.com,M,3744,45,English
141676,Sigvard,Ingleson,sigvard.ingleson@zdnet.com,M,3744,45,French
141676,Sigvard,Ingleson,sigvard.ingleson@zdnet.com,M,3744,45,Korean
141708,Felicity,Giraldo,felicity.giraldo@xinhuanet.com,F,27184,40,English
141708,Felicity,Giraldo,felicity.giraldo@xinhuanet.com,F,27184,40,Russian
141913,Renaud,Olley,renaud.olley@csmonitor.com,M,18538,12,English
141913,Renaud,Olley,renaud.olley@csmonitor.com,M,18538,12,Mandarin
141913,Renaud,Olley,renaud.olley@csmonitor.com,M,18538,12,Spanish
141923,Samara,Ciotti,samara.ciotti@wired.com,F,17188,55,English
141923,Samara,Ciotti,samara.ciotti@wired.com,F,17188,55,German
141991,Hymie,Krienke,hymie.krienke@i2i.jp,M,10393,53,English
142017,Klarika,Brogden,klarika.brogden@unc.edu,F,33212,9,Dutch
142017,Klarika,Brogden,klarika.brogden@unc.edu,F,33212,9,English
142229,Hayley,Marde,hayley.marde@buzzfeed.com,F,46900,40,Arabic
142229,Hayley,Marde,hayley.marde@buzzfeed.com,F,46900,40,English
142229,Hayley,Marde,hayley.marde@buzzfeed.com,F,46900,40,French
142229,Hayley,Marde,hayley.marde@buzzfeed.com,F,46900,40,German
142229,Hayley,Marde,hayley.marde@buzzfeed.com,F,46900,40,Yiddish
142256,Karyn,Johananov,karyn.johananov@businesswire.com,F,4519,12,French
142256,Karyn,Johananov,karyn.johananov@businesswire.com,F,4519,12,Mandarin
142256,Karyn,Johananov,karyn.johananov@businesswire.com,F,4519,12,Moldavan
142256,Karyn,Johananov,karyn.johananov@businesswire.com,F,4519,12,Norwegian
142296,Merrily,MacGilmartin,merrily.macgilmartin@clickbank.net,F,44839,19,Bulgarian
142296,Merrily,MacGilmartin,merrily.macgilmartin@clickbank.net,F,44839,19,Hindi
142296,Merrily,MacGilmartin,merrily.macgilmartin@clickbank.net,F,44839,19,Russian
142357,Feodor,Locker,feodor.locker@google.ru,M,16558,31,English
142357,Feodor,Locker,feodor.locker@google.ru,M,16558,31,German
142518,Harper,Duffil,harper.duffil@cocolog-nifty.com,M,35663,16,English
142518,Harper,Duffil,harper.duffil@cocolog-nifty.com,M,35663,16,French
142518,Harper,Duffil,harper.duffil@cocolog-nifty.com,M,35663,16,Maltese
142518,Harper,Duffil,harper.duffil@cocolog-nifty.com,M,35663,16,Spanish
142531,Lyndell,Landell,lyndell.landell@google.co.jp,F,42108,26,Arabic
